Purchase Order Number,Property,Description,GL Account,Unit Name,Vendor,Approval Status,Last Approver,Last Approved On,Created At,Required By,Order Submitted Date,Received,Completed,Sum of Bills,Amount,All Bills,Billed Amount (Line Item),Property Name
14169,,12 clogged gutters and main drain blow out,6255 - Pool Equipment/Repairs/Supplies,,American Pool,Approved,Mariah Cruz,03/07/2025,01/24/2025,,,No,Yes,,"1,050.00",,,
14240,,"Chadwell Supply - Gloves, trash bags, drip pans, sink tailpiece , deadbolts, passage locks, tub stems, tub handles , burner elements ,water",6730 - Supplies Repairs and Maintenance,,Chadwell Supply,Approved,David  Patino,01/28/2025,01/28/2025,,,No,No,974.57,974.57,974.57,974.57,
14455,,Visa Gift card- Move in special,,,,Approved,Linda Villegas,02/05/2025,02/05/2025,,,No,No,,500.00,,,
14703,,Pull Station off/activated,,,Fire Tech Extinguisher Service & Safety Equipment Co. LLC,Exempt,,,02/13/2025,,,No,No,,0.00,,,
14787,,1037-Apt cleaning and patio power wash 1039- Apt cleaning and patio power wash 2030- Apt cleaning	2006- Cleaning Service 1023- patio power wash,1405 - Building Improvements,,,Approved,Mitch Yoffe,02/17/2025,02/17/2025,,,No,No,570.00,570.00,570.00,,
14892,,301128,,,Chadwell Supply,Pending (1 of 2),,,02/19/2025,,,No,No,,567.00,,,
14892,,301151,,,Chadwell Supply,Pending (1 of 2),,,02/19/2025,,,No,No,,626.40,,,
14892,,305108,,,Chadwell Supply,Pending (1 of 2),,,02/19/2025,,,No,No,,85.32,,,
14892,,304012,,,Chadwell Supply,Pending (1 of 2),,,02/19/2025,,,No,No,,18.34,,,
14892,,207385,,,Chadwell Supply,Pending (1 of 2),,,02/19/2025,,,No,No,,13.07,,,
14964,,lake clean out (heavy clean out),6251 - Cleaning Services,,"THE LAKE DOCTORS, INC. -",Approved,Mark Katz,02/21/2025,02/21/2025,,,No,Yes,,750.00,,,
14978,,Chadwell-Shop Supplies,6730 - Supplies Repairs and Maintenance,,Chadwell Supply,Exempt,,,02/21/2025,,,No,Yes,128.99,128.99,128.99,128.99,
15208,,Chadwell-Shop Supplies,6730 - Supplies Repairs and Maintenance,,Chadwell Supply,Approved,Bibiana Sarmiento,03/03/2025,03/03/2025,,,No,Yes,,"1,475.74",,,
15573,,paint bathtube kitchen counter top vanity,6210 - Repair,,EVOLUTION REINFORCING LLC,Pending (1 of 2),,,03/14/2025,03/14/2025,,No,No,,650.00,,,
15683,,Rangehood replacement for damaged one received - Lowes will issue a credit for this invoice once the damaged one is picked up by the driver,,,Lowe's Pro Supply,Exempt,,,03/19/2025,,,No,No,59.35,59.35,59.35,,
15761,,PLUMBING/IRWIN 15 PIECE METAL COBALT DRILL BIT SET,6730 - Supplies Repairs and Maintenance,,Chadwell Supply,Exempt,,,03/20/2025,,,No,No,374.41,374.41,374.41,,
15768,,HONEYWELL HOME ® T1 PRO THERMOSTAT 1 HEAT AND 1 COOL - TH1110D2009,6730 - Supplies Repairs and Maintenance,,Chadwell Supply,Exempt,,,03/20/2025,,,No,No,225.51,225.51,225.51,,
15881,,,,,Ameristar Screen and Glass,Exempt,,,03/24/2025,,,No,No,252.08,,252.08,,
15952,,Plumbing Pool Repairs,,,,Exempt,,,03/25/2025,,,No,No,,180.00,,,
16172,,Paint,,,PPG Paints,Exempt,,,04/01/2025,,,No,No,,319.20,,,
16189,,A/C Supplies,6730 - Supplies Repairs and Maintenance,,Chadwell Supply,Exempt,,,04/01/2025,,,No,No,319.93,319.93,319.93,319.93,
10410,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Electrical repair/upgrade throughout,1405 - Building Improvements,131-3294,Genesis Electric Inc,Approved,Morde Benzaquen,05/28/2024,05/22/2024,,,No,Yes,"4,540.00","4,540.00",4540.00,"4,540.00",Azure Villas
10750,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Water heater replacement for the active violation,1405 - Building Improvements,127-5315,Douyon Maintenance Inc,Approved,Sergy Khaimov (Hidden),07/02/2024,07/02/2024,,07/09/2024,Yes,Yes,"1,400.00","1,400.00",1400.00,"1,400.00",Azure Villas
10753,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",weekend emergency- 100ft snake to unclog main drain,,131-3296,Douyon Maintenance Inc,Exempt,,,07/02/2024,,,No,Yes,350.00,350.00,350.00,350.00,Azure Villas
10754,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",replace water meter valve,,Azure Villas,Douyon Maintenance Inc,Exempt,,,07/02/2024,,,No,Yes,350.00,350.00,350.00,350.00,Azure Villas
10755,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",2 window replacements,,126-5351,CAO General Service,Approved,Sergy Khaimov (Hidden),07/02/2024,07/02/2024,,,Yes,Yes,440.00,440.00,440.00,440.00,Azure Villas
10756,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",water heater replacement EMERGENCY,,4-5235,Douyon Maintenance Inc,Approved,Sergy Khaimov (Hidden),07/02/2024,07/02/2024,,,No,Yes,"1,400.00","1,400.00",1400.00,"1,400.00",Azure Villas
10759,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",tub resurface,,115-3357,Omnia Trades Corp,Exempt,,,07/02/2024,,,No,Yes,150.00,150.00,150.00,150.00,Azure Villas
10760,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",tub resurface,,106-5330,Omnia Trades Corp,Exempt,,,07/02/2024,,07/02/2024,No,Yes,150.00,150.00,150.00,150.00,Azure Villas
10770,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",new wiring for WH burn out,,4-5235,JMR Electric services LLC,Exempt,,,07/03/2024,,07/03/2024,No,Yes,325.00,325.00,325.00,325.00,Azure Villas
10837,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",New piping to repair water blockage,,131-3298,Douyon Maintenance Inc,Exempt,,,07/09/2024,,,No,Yes,290.00,290.00,290.00,290.00,Azure Villas
10897,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Full unit pant,6210 - Repair,118-5455,"Kelly, Kevin",Approved,Sergy Khaimov (Hidden),07/11/2024,07/11/2024,,,No,Yes,500.00,500.00,500.00,500.00,Azure Villas
10898,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Full unit pant,6210 - Repair,120-5407,Imperial Painting,Approved,Sergy Khaimov (Hidden),07/11/2024,07/11/2024,,,No,Yes,700.00,700.00,700.00,700.00,Azure Villas
10899,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Tub and tile resurfacing,6210 - Repair,16-3175,Omnia Trades Corp,Exempt,,,07/11/2024,,,No,Yes,290.00,290.00,290.00,290.00,Azure Villas
10901,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023","Tub, tile, vanity, kitchen cabinets and countertops",6210 - Repair,8-5427,Omnia Trades Corp,Approved,Sergy Khaimov (Hidden),07/12/2024,07/11/2024,,,No,Yes,"1,030.00","1,030.00",1030.00,"1,030.00",Azure Villas
10902,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Shower valve removed and replaced,6210 - Repair,8-5427,Douyon Maintenance Inc,Approved,Sergy Khaimov (Hidden),07/12/2024,07/11/2024,,,No,Yes,600.00,600.00,600.00,600.00,Azure Villas
10906,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023","Tub, tile, vanity, kitchen cabinets and countertops",6210 - Repair,132-3274,Omnia Trades Corp,Approved,Sergy Khaimov (Hidden),07/12/2024,07/11/2024,,,No,Yes,"1,120.00","1,120.00",1120.00,"1,120.00",Azure Villas
10908,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Full unit paint,6210 - Repair,132-3274,Imperial Painting,Approved,Sergy Khaimov (Hidden),07/12/2024,07/11/2024,,,No,Yes,"1,000.00","1,000.00",1000.00,"1,000.00",Azure Villas
10909,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023","Full unit paint, painting of ceiling and drywall installation under kitchen sink",6210 - Repair,121-3390,,Approved,Mordechai Levenberg,09/18/2024,07/11/2024,,,No,Yes,"2,295.00","1,000.00","1000.00, 175.00, 1120.00","1,000.00",Azure Villas
10909,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",kitch cabinet paint- Omnia,6210 - Repair,121-3390,,Approved,Mordechai Levenberg,09/18/2024,07/11/2024,,,No,Yes,"2,295.00",400.00,"1000.00, 175.00, 1120.00",400.00,Azure Villas
10909,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",kitch countertop paint- Omnia,6210 - Repair,121-3390,,Approved,Mordechai Levenberg,09/18/2024,07/11/2024,,,No,Yes,"2,295.00",250.00,"1000.00, 175.00, 1120.00",250.00,Azure Villas
10909,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",bthrm vanity paint- Omnia,,121-3390,,Approved,Mordechai Levenberg,09/18/2024,07/11/2024,,,No,Yes,"2,295.00",180.00,"1000.00, 175.00, 1120.00",180.00,Azure Villas
10909,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",tub & tile resurace- Omnia,6210 - Repair,121-3390,,Approved,Mordechai Levenberg,09/18/2024,07/11/2024,,,No,Yes,"2,295.00",290.00,"1000.00, 175.00, 1120.00",290.00,Azure Villas
10909,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Full unit clean- Ramon,6251 - Cleaning Services,121-3390,,Approved,Mordechai Levenberg,09/18/2024,07/11/2024,,,No,Yes,"2,295.00",175.00,"1000.00, 175.00, 1120.00",175.00,Azure Villas
10911,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Full unit clean,6251 - Cleaning Services,8-5427,"Banos, Ramon",Exempt,,,07/11/2024,,,No,Yes,175.00,175.00,175.00,175.00,Azure Villas
10913,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Full unit clean,6251 - Cleaning Services,113-3295,"Banos, Ramon",Exempt,,,07/11/2024,,,No,Yes,175.00,175.00,175.00,175.00,Azure Villas
10915,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Full unit clean,6251 - Cleaning Services,127-5317,"Banos, Ramon",Exempt,,,07/11/2024,,07/12/2024,No,Yes,210.00,210.00,210.00,210.00,Azure Villas
10917,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Removed broken toilet and installed 10 inch rough,6210 - Repair,115-3357,Douyon Maintenance Inc,Approved,Sergy Khaimov (Hidden),07/12/2024,07/11/2024,,,No,Yes,,556.50,,,Azure Villas
10956,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Full unit paint,6210 - Repair,126-5355,Imperial Painting,Approved,Sergy Khaimov (Hidden),07/12/2024,07/12/2024,,,No,Yes,,550.00,,,Azure Villas
10983,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",wall restoration,1405 - Building Improvements,131-3294,HMG Clean Out Inc,Approved,Morde Benzaquen,08/21/2024,07/15/2024,,,No,No,"21,580.00","8,895.00",21580.00,"8,895.00",Azure Villas
10983,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",tub resurafce,1405 - Building Improvements,131-3294,HMG Clean Out Inc,Approved,Morde Benzaquen,08/21/2024,07/15/2024,,,No,No,"21,580.00",485.00,21580.00,485.00,Azure Villas
10983,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Kitchen cabinets (new),1405 - Building Improvements,131-3294,HMG Clean Out Inc,Approved,Morde Benzaquen,08/21/2024,07/15/2024,,,No,No,"21,580.00","8,500.00",21580.00,"8,500.00",Azure Villas
10983,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Bathroom reno,1405 - Building Improvements,131-3294,HMG Clean Out Inc,Approved,Morde Benzaquen,08/21/2024,07/15/2024,,,No,No,"21,580.00","2,100.00",21580.00,"2,100.00",Azure Villas
10983,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Demo,1405 - Building Improvements,131-3294,HMG Clean Out Inc,Approved,Morde Benzaquen,08/21/2024,07/15/2024,,,No,No,"21,580.00","1,600.00",21580.00,"1,600.00",Azure Villas
10993,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Full unit pant,6210 - Repair,119-5415,Imperial Painting,Approved,Sergy Khaimov (Hidden),07/16/2024,07/16/2024,,,No,Yes,550.00,550.00,550.00,550.00,Azure Villas
10995,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Full unit paint,6210 - Repair,101-5210,Imperial Painting,Approved,Sergy Khaimov (Hidden),07/16/2024,07/16/2024,,,No,Yes,700.00,700.00,700.00,700.00,Azure Villas
11037,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",New stenner chemical feeder for acid Stenner feed tube for new feeder,6255 - Pool Equipment/Repairs/Supplies,Azure Villas,American Pool,Approved,Sergy Khaimov (Hidden),07/18/2024,07/18/2024,,,No,Yes,893.66,893.66,893.66,893.66,Azure Villas
11192,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023","Water extraction, humidifier, blower and carpet clean",6210 - Repair,114-3305,"Carpio, Evert",Approved,Sergy Khaimov (Hidden),07/30/2024,07/30/2024,,,No,Yes,680.00,680.00,680.00,680.00,Azure Villas
11193,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",fridge replacement,6272 - Appliances Repair/Parts/Replace,127-5317,"Calzadilla, Rubiel",Approved,Mordechai Levenberg,08/01/2024,07/30/2024,,,No,Yes,"3,025.00",275.00,3025.00,275.00,Azure Villas
11193,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",fridge replacement,6272 - Appliances Repair/Parts/Replace,123-3300,"Calzadilla, Rubiel",Approved,Mordechai Levenberg,08/01/2024,07/30/2024,,,No,Yes,"3,025.00",275.00,3025.00,275.00,Azure Villas
11193,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",fridge replacement,6272 - Appliances Repair/Parts/Replace,128-5291,"Calzadilla, Rubiel",Approved,Mordechai Levenberg,08/01/2024,07/30/2024,,,No,Yes,"3,025.00",275.00,3025.00,275.00,Azure Villas
11193,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",fridge replacement,6272 - Appliances Repair/Parts/Replace,7-5401,"Calzadilla, Rubiel",Approved,Mordechai Levenberg,08/01/2024,07/30/2024,,,No,Yes,"3,025.00",275.00,3025.00,275.00,Azure Villas
11193,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",fridge replacement,6272 - Appliances Repair/Parts/Replace,120-5401,"Calzadilla, Rubiel",Approved,Mordechai Levenberg,08/01/2024,07/30/2024,,,No,Yes,"3,025.00",275.00,3025.00,275.00,Azure Villas
11193,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",fridge replacement,6272 - Appliances Repair/Parts/Replace,108-5410,"Calzadilla, Rubiel",Approved,Mordechai Levenberg,08/01/2024,07/30/2024,,,No,Yes,"3,025.00",275.00,3025.00,275.00,Azure Villas
11193,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",fridge replacement,6272 - Appliances Repair/Parts/Replace,117-5493,"Calzadilla, Rubiel",Approved,Mordechai Levenberg,08/01/2024,07/30/2024,,,No,Yes,"3,025.00",275.00,3025.00,275.00,Azure Villas
11193,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",fridge replacement,6272 - Appliances Repair/Parts/Replace,115-3355,"Calzadilla, Rubiel",Approved,Mordechai Levenberg,08/01/2024,07/30/2024,,,No,Yes,"3,025.00",275.00,3025.00,275.00,Azure Villas
11193,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",stove replacement,6272 - Appliances Repair/Parts/Replace,122-3354,"Calzadilla, Rubiel",Approved,Mordechai Levenberg,08/01/2024,07/30/2024,,,No,Yes,"3,025.00",275.00,3025.00,275.00,Azure Villas
11193,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",stove replacement,6272 - Appliances Repair/Parts/Replace,122-3356,"Calzadilla, Rubiel",Approved,Mordechai Levenberg,08/01/2024,07/30/2024,,,No,Yes,"3,025.00",275.00,3025.00,275.00,Azure Villas
11193,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",stove replacement,6272 - Appliances Repair/Parts/Replace,134-3236,"Calzadilla, Rubiel",Approved,Mordechai Levenberg,08/01/2024,07/30/2024,,,No,Yes,"3,025.00",275.00,3025.00,275.00,Azure Villas
11194,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",window replace,6210 - Repair,12-3153,CAO General Service,Approved,Sergy Khaimov (Hidden),07/30/2024,07/30/2024,,,No,Yes,"1,100.00",220.00,1100.00,220.00,Azure Villas
11194,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",window replace,6210 - Repair,107-5342,CAO General Service,Approved,Sergy Khaimov (Hidden),07/30/2024,07/30/2024,,,No,Yes,"1,100.00",220.00,1100.00,220.00,Azure Villas
11194,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",window replace,6210 - Repair,15-3171,CAO General Service,Approved,Sergy Khaimov (Hidden),07/30/2024,07/30/2024,,,No,Yes,"1,100.00",220.00,1100.00,220.00,Azure Villas
11194,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",window replace,6210 - Repair,118-5453,CAO General Service,Approved,Sergy Khaimov (Hidden),07/30/2024,07/30/2024,,,No,Yes,"1,100.00",220.00,1100.00,220.00,Azure Villas
11194,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",window replace,6210 - Repair,127-5315,CAO General Service,Approved,Sergy Khaimov (Hidden),07/30/2024,07/30/2024,,,No,Yes,"1,100.00",220.00,1100.00,220.00,Azure Villas
11196,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",new shut off valve laundry room by maint shop,6210 - Repair,Azure Villas,Douyon Maintenance Inc,Exempt,,,07/30/2024,,,No,Yes,300.00,300.00,300.00,300.00,Azure Villas
11227,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Golf Cart repair,6210 - Repair,Azure Villas,A&A Parts and Carts,Approved,Sergy Khaimov (Hidden),08/01/2024,08/01/2024,,,No,Yes,"1,080.27","1,080.27",1080.27,"1,080.27",Azure Villas
11237,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Full unit paint countertops cabinets vanities paint,6210 - Repair,2-5215,"Kelly, Kevin",Approved,Sergy Khaimov (Hidden),08/01/2024,08/01/2024,,,No,Yes,"1,300.00","1,300.00",1300.00,"1,300.00",Azure Villas
11238,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023","full unit, cabinets, vanities and countertop paint",6210 - Repair,6-5325,"Kelly, Kevin",Approved,Sergy Khaimov (Hidden),08/01/2024,08/01/2024,,,No,Yes,"1,040.00","1,040.00",1040.00,"1,040.00",Azure Villas
11240,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",full unit cabinets vanities and countertop paint,6210 - Repair,15-3161,"Kelly, Kevin",Approved,Sergy Khaimov (Hidden),08/01/2024,08/01/2024,,,No,Yes,915.00,915.00,915.00,915.00,Azure Villas
11241,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",unit trash out,6449 - Waste Special Services,103-5244,,Approved,Mordechai Levenberg,09/06/2024,08/01/2024,,,No,Yes,"2,170.00",100.00,"100.00, 175.00, 500.00, 1120.00, 275.00",100.00,Azure Villas
11241,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Full unit paint- K Kelly,6210 - Repair,103-5244,,Approved,Mordechai Levenberg,09/06/2024,08/01/2024,,,No,Yes,"2,170.00",500.00,"100.00, 175.00, 500.00, 1120.00, 275.00",500.00,Azure Villas
11241,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",kitch cabinet paint- Omnia,6210 - Repair,103-5244,,Approved,Mordechai Levenberg,09/06/2024,08/01/2024,,,No,Yes,"2,170.00",400.00,"100.00, 175.00, 500.00, 1120.00, 275.00",400.00,Azure Villas
11241,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",kitch countertop paint- Omnia,6210 - Repair,103-5244,,Approved,Mordechai Levenberg,09/06/2024,08/01/2024,,,No,Yes,"2,170.00",250.00,"100.00, 175.00, 500.00, 1120.00, 275.00",250.00,Azure Villas
11241,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",bthrm vanity paint- Omnia,6210 - Repair,103-5244,,Approved,Mordechai Levenberg,09/06/2024,08/01/2024,,,No,Yes,"2,170.00",180.00,"100.00, 175.00, 500.00, 1120.00, 275.00",180.00,Azure Villas
11241,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",tub & tile resurface- Omnia,6210 - Repair,103-5244,,Approved,Mordechai Levenberg,09/06/2024,08/01/2024,,,No,Yes,"2,170.00",290.00,"100.00, 175.00, 500.00, 1120.00, 275.00",290.00,Azure Villas
11241,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",unit clean- Ramon,6251 - Cleaning Services,103-5244,,Approved,Mordechai Levenberg,09/06/2024,08/01/2024,,,No,Yes,"2,170.00",175.00,"100.00, 175.00, 500.00, 1120.00, 275.00",175.00,Azure Villas
11241,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",fridge replacement- Rubiel,1405 - Building Improvements,103-5244,,Approved,Mordechai Levenberg,09/06/2024,08/01/2024,,,No,Yes,"2,170.00",275.00,"100.00, 175.00, 500.00, 1120.00, 275.00",275.00,Azure Villas
11243,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",tub and tile cabinets countertops and vanities resurfacing,6210 - Repair,126-5355,Omnia Trades Corp,Approved,Sergy Khaimov (Hidden),08/01/2024,08/01/2024,,,No,Yes,"1,120.00","1,120.00",1120.00,"1,120.00",Azure Villas
11244,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",tub and tile  vanities countertops and cabinets resurfacing,6210 - Repair,120-5407,Omnia Trades Corp,Approved,Sergy Khaimov (Hidden),08/01/2024,08/01/2024,,,No,Yes,"1,120.00","1,120.00",1120.00,"1,120.00",Azure Villas
11245,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Full unit paint- Imperial,6210 - Repair,132-3276,,Approved,Mordechai Levenberg,09/09/2024,08/01/2024,,,No,Yes,"1,845.00",550.00,"550.00, 1120.00, 175.00",550.00,Azure Villas
11245,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",kitch cabinet paint- Omnia,6210 - Repair,132-3276,,Approved,Mordechai Levenberg,09/09/2024,08/01/2024,,,No,Yes,"1,845.00",400.00,"550.00, 1120.00, 175.00",400.00,Azure Villas
11245,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",kitch countertop paint- Omnia,6210 - Repair,132-3276,,Approved,Mordechai Levenberg,09/09/2024,08/01/2024,,,No,Yes,"1,845.00",250.00,"550.00, 1120.00, 175.00",250.00,Azure Villas
11245,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",bthrm vanity paint- Omnia,6210 - Repair,132-3276,,Approved,Mordechai Levenberg,09/09/2024,08/01/2024,,,No,Yes,"1,845.00",180.00,"550.00, 1120.00, 175.00",180.00,Azure Villas
11245,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",tub & tile resurfacing- Omnia,6210 - Repair,132-3276,,Approved,Mordechai Levenberg,09/09/2024,08/01/2024,,,No,Yes,"1,845.00",290.00,"550.00, 1120.00, 175.00",290.00,Azure Villas
