Purchase Order Number,Property,Description,GL Account,Unit Name,Vendor,Approval Status,Last Approver,Last Approved On,Created At,Required By,Order Submitted Date,Received,Completed,Sum of Bills,Amount,All Bills,Billed Amount (Line Item),Property Name
15573,,paint bathtube kitchen counter top vanity,6210 - Repair,,EVOLUTION REINFORCING LLC,Pending (1 of 2),,,03/14/2025,03/14/2025,,No,No,,650.00,,,
15683,,Rangehood replacement for damaged one received - Lowes will issue a credit for this invoice once the damaged one is picked up by the driver,,,Lowe's Pro Supply,Exempt,,,03/19/2025,,,No,No,59.35,59.35,59.35,,
15761,,PLUMBING/IRWIN 15 PIECE METAL COBALT DRILL BIT SET,6730 - Supplies Repairs and Maintenance,,Chadwell Supply,Exempt,,,03/20/2025,,,No,No,374.41,374.41,374.41,,
15768,,HONEYWELL HOME ® T1 PRO THERMOSTAT 1 HEAT AND 1 COOL - TH1110D2009,6730 - Supplies Repairs and Maintenance,,Chadwell Supply,Exempt,,,03/20/2025,,,No,No,225.51,225.51,225.51,,
15881,,,,,Ameristar Screen and Glass,Exempt,,,03/24/2025,,,No,No,252.08,,252.08,,
15952,,Plumbing Pool Repairs,,,,Exempt,,,03/25/2025,,,No,No,,180.00,,,
16172,,Paint,,,PPG Paints,Exempt,,,04/01/2025,,,No,No,,319.20,,,
16189,,A/C Supplies,6730 - Supplies Repairs and Maintenance,,Chadwell Supply,Exempt,,,04/01/2025,,,No,No,,319.93,,,
16211,,,,,SEXTON PEST CONTROL,Exempt,,,04/02/2025,,,No,No,131.00,,131.00,,
16255,,,,,SEXTON PEST CONTROL,Exempt,,,04/03/2025,,,No,No,,,,,
16271,,,,,AAA Landlord Services INC,Exempt,,,04/03/2025,,,No,No,,141.00,,,
16438,,,,,Chadwell Supply,Exempt,,,04/08/2025,,,No,No,68.98,,68.98,,
16495,,Supplies needed for Apartment Turn 1043,,,The Home Depot Pro,Approved,Linda Villegas,04/10/2025,04/09/2025,,,No,No,857.82,857.82,857.82,,
16520,,"4 KITCHEN FAUCETS,1-Trice 52 In LED Black,2-Chrm Diverter Tub Spt Di-cst Zinc 5/8,1-2"" General Purpose Masking Tape 6/Pkg,4-Overflowplate 2 Hole Chrome Finish,4-Two Handle Centerset Bathrm Faucet.",6730 - Supplies Repairs and Maintenance,,HD Supply Facilities Maintenance,Approved,Linda Villegas,04/10/2025,04/10/2025,,,No,No,516.60,516.60,516.60,,
16569,,"Piping for A/C, Water Lines and misc. supplies for Apt Turn",,,Lowe's Pro Supply,Exempt,,,04/10/2025,,,No,No,,112.57,,,
16594,,GFCI install in all the units,6214 - Electrical Repair Expense,,Lowe's Pro Supply,Approved,Mark Katz,04/11/2025,04/11/2025,,,No,No,,"1,310.41",,,
16632,,Lock,,,Lowe's Pro Supply,Exempt,,,04/11/2025,,,No,No,,48.74,,,
16713,,,,,Chadwell Supply,Exempt,,,04/15/2025,,,No,No,160.42,,160.42,,
16721,,Repair Main Panel Box @ Apt 1005,,,Aaron's Electric,Exempt,,,04/15/2025,,,No,No,100.00,100.00,100.00,,
16725,,"15 Main Panels, 400 AMP, Ground Repair",,,Aaron's Electric,Approved,Linda Villegas,04/15/2025,04/15/2025,,,No,No,,"1,500.00",,,
16728,,,,,Chadwell Supply,Exempt,,,04/15/2025,,,No,No,213.68,,213.68,,
16746,,"Light Bulbs, Ceiling Fan, Bath Fixtures",,,Chadwell Supply,Exempt,,,04/16/2025,,,No,No,,338.37,,,
16759,,New A/C emergency disconnect for new A/C install,6210 - Repair,,JMR Electric services LLC,Exempt,,,04/16/2025,,,No,Yes,350.00,350.00,350.00,350.00,
16771,,"Binder, File Folders, Label Maker & Tape, Magnifier, Pens, Ruler, Sheet Protectors, Scissors, Staple Remover, Toilet Paper",,,QUILL.COM,Exempt,,,04/16/2025,,,No,No,175.89,193.28,175.89,175.89,
16829,,Misc Supplies for Apt 1043 and Supplies for Maintenance Shop,,,Lowe's Pro Supply,Exempt,,,04/17/2025,,,No,No,202.75,202.75,202.75,202.75,
16830,,,,,Klein Heating and Cooling,Exempt,,,04/17/2025,,,No,No,,,,,
16847,,"Home depot- supplies for repairs WO, vacant units",6730 - Supplies Repairs and Maintenance,,,Exempt,,,04/18/2025,,,No,No,305.36,305.36,305.36,,
16857,,Drip Pans,,,Lowe's Pro Supply,Exempt,,,04/18/2025,,,No,No,,20.22,,,
13916,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",trim/shape all trees throughout property,6249 - Landscaping Special Services,Azure Villas,,Approved,Mariah Cruz,03/26/2025,01/14/2025,,,No,Yes,"12,840.00","10,280.00",12840.00,"10,280.00",Azure Villas
13916,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",clean up shape bushes throughout property,6249 - Landscaping Special Services,Azure Villas,,Approved,Mariah Cruz,03/26/2025,01/14/2025,,,No,Yes,"12,840.00","1,270.00",12840.00,"1,270.00",Azure Villas
13916,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",clean out all overgrown area throughout property,6249 - Landscaping Special Services,Azure Villas,,Approved,Mariah Cruz,03/26/2025,01/14/2025,,,No,Yes,"12,840.00","1,290.00",12840.00,"1,290.00",Azure Villas
13917,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Building 132 main drain back up,6210 - Repair,132-3272,Douyon Maintenance Inc,Exempt,,,01/14/2025,,,No,Yes,350.00,350.00,350.00,350.00,Azure Villas
13918,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",building 118-119 main drain back up,6210 - Repair,118-5455,Douyon Maintenance Inc,Exempt,,,01/14/2025,,,No,Yes,400.00,400.00,400.00,400.00,Azure Villas
13981,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Dog Park Equipment,1405 - Building Improvements,Azure Villas,Terrabound Solutions,Approved,Morde Benzaquen,01/16/2025,01/16/2025,,,No,No,"14,362.00","14,362.00",14362.00,"14,362.00",Azure Villas
13982,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Seating for playground,1405 - Building Improvements,Azure Villas,Terrabound Solutions,Approved,Mordechai Levenberg,01/16/2025,01/16/2025,,,No,No,"3,549.00","3,549.00",3549.00,"3,549.00",Azure Villas
13984,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Pool seating equipment,1405 - Building Improvements,Azure Villas,Terrabound Solutions,Approved,Morde Benzaquen,01/16/2025,01/16/2025,,,No,No,"14,206.16","14,206.16",14206.16,"14,206.16",Azure Villas
14016,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",34x18x1/8 window replacement,6210 - Repair,15-3161,CAO General Service,Exempt,,,01/17/2025,,,No,Yes,220.00,220.00,220.00,220.00,Azure Villas
14017,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Dog Park rules sign,7450 - Advertising/ Signs/ Promotion,Azure Villas,Epic Signs LLC,Approved,Mark Katz,01/20/2025,01/17/2025,,,No,Yes,615.00,310.00,615.00,310.00,Azure Villas
14017,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Playground rules sign,7450 - Advertising/ Signs/ Promotion,Azure Villas,Epic Signs LLC,Approved,Mark Katz,01/20/2025,01/17/2025,,,No,Yes,615.00,305.00,615.00,305.00,Azure Villas
14019,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Full unit paint,,110-5434,"Kelly, Kevin",Approved,Mark Katz,01/28/2025,01/17/2025,,,No,Yes,500.00,500.00,500.00,500.00,Azure Villas
14089,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",building 1-4 main drain clog,6210 - Repair,2-5213,Douyon Maintenance Inc,Approved,Mark Katz,01/28/2025,01/22/2025,,,No,Yes,490.00,490.00,490.00,490.00,Azure Villas
14090,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",waterline repair,6210 - Repair,16-3179,Douyon Maintenance Inc,Approved,Mark Katz,01/28/2025,01/22/2025,,,No,Yes,550.00,550.00,550.00,550.00,Azure Villas
14092,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",building 119-120 main drain back up,6210 - Repair,119-5413,Douyon Maintenance Inc,Approved,Mark Katz,01/28/2025,01/22/2025,,,No,Yes,440.00,440.00,440.00,440.00,Azure Villas
14096,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",WH replacement,6210 - Repair,132-3274,Douyon Maintenance Inc,Approved,Mark Katz,01/28/2025,01/22/2025,,,No,Yes,"1,400.00","1,400.00",1400.00,"1,400.00",Azure Villas
14098,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Playground equipment,1405 - Building Improvements,Azure Villas,Terrabound Solutions,Approved,Morde Benzaquen,02/03/2025,01/22/2025,,,No,No,"12,582.00","12,582.00",12582.00,"12,582.00",Azure Villas
14166,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",carpet clean,6220 - Carpet Cleaning,117-5497,"Carpio, Evert",Exempt,,,01/24/2025,,,No,Yes,160.00,160.00,160.00,160.00,Azure Villas
14169,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Rock and debris clean up,6255 - Pool Equipment/Repairs/Supplies,Azure Villas,American Pool,Approved,Mariah Cruz,03/07/2025,01/24/2025,,,No,Yes,,250.00,,,Azure Villas
14230,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Full unit paint- K Kelly,6210 - Repair,124-3294,,Approved,Mordechai Levenberg,01/28/2025,01/28/2025,,,No,Yes,"2,450.00",875.00,"875.00, 1300.00, 275.00",875.00,Azure Villas
14230,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",full unit clean- ramon banos,6251 - Cleaning Services,124-3294,,Approved,Mordechai Levenberg,01/28/2025,01/28/2025,,,No,Yes,"2,450.00",275.00,"875.00, 1300.00, 275.00",275.00,Azure Villas
14230,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",tub & tile resurface- Omnia,6210 - Repair,124-3294,,Approved,Mordechai Levenberg,01/28/2025,01/28/2025,,,No,Yes,"2,450.00",290.00,"875.00, 1300.00, 275.00",290.00,Azure Villas
14230,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",bthrm vanity paint-omnia,6210 - Repair,124-3294,,Approved,Mordechai Levenberg,01/28/2025,01/28/2025,,,No,Yes,"2,450.00",360.00,"875.00, 1300.00, 275.00",360.00,Azure Villas
14230,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",kitch cabinet paint- omnia,6210 - Repair,124-3294,,Approved,Mordechai Levenberg,01/28/2025,01/28/2025,,,No,Yes,"2,450.00",400.00,"875.00, 1300.00, 275.00",400.00,Azure Villas
14230,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",kitch countertop paint- omnia,6210 - Repair,124-3294,,Approved,Mordechai Levenberg,01/28/2025,01/28/2025,,,No,Yes,"2,450.00",250.00,"875.00, 1300.00, 275.00",250.00,Azure Villas
14231,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",full unit clean- ramon banos,6251 - Cleaning Services,10-5461,,Approved,Mordechai Levenberg,01/28/2025,01/28/2025,,,No,Yes,"1,845.00",175.00,"175.00, 1120.00, 550.00",175.00,Azure Villas
14231,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Tub & tile resurface- omnia,6210 - Repair,10-5461,,Approved,Mordechai Levenberg,01/28/2025,01/28/2025,,,No,Yes,"1,845.00",290.00,"175.00, 1120.00, 550.00",290.00,Azure Villas
14231,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",bthrm vanity paint- omnia,6210 - Repair,10-5461,,Approved,Mordechai Levenberg,01/28/2025,01/28/2025,,,No,Yes,"1,845.00",180.00,"175.00, 1120.00, 550.00",180.00,Azure Villas
14231,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",kitch cabinet paint- omnia,6210 - Repair,10-5461,,Approved,Mordechai Levenberg,01/28/2025,01/28/2025,,,No,Yes,"1,845.00",400.00,"175.00, 1120.00, 550.00",400.00,Azure Villas
14231,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",kitch countertop paint- omnia,6210 - Repair,10-5461,,Approved,Mordechai Levenberg,01/28/2025,01/28/2025,,,No,Yes,"1,845.00",250.00,"175.00, 1120.00, 550.00",250.00,Azure Villas
14231,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",full unit paint- dadny,6210 - Repair,10-5461,,Approved,Mordechai Levenberg,01/28/2025,01/28/2025,,,No,Yes,"1,845.00",550.00,"175.00, 1120.00, 550.00",550.00,Azure Villas
14242,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Full unit paint- Banos,6210 - Repair,127-5311,,Approved,Mark Katz,01/28/2025,01/28/2025,,,No,Yes,"1,355.00",550.00,"340.00, 725.00, 290.00",550.00,Azure Villas
14242,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",full unit clean- ramon banos,6251 - Cleaning Services,127-5311,,Approved,Mark Katz,01/28/2025,01/28/2025,,,No,Yes,"1,355.00",175.00,"340.00, 725.00, 290.00",175.00,Azure Villas
14242,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",tub & tile resurface- omnia,6210 - Repair,127-5311,,Approved,Mark Katz,01/28/2025,01/28/2025,,,No,Yes,"1,355.00",290.00,"340.00, 725.00, 290.00",290.00,Azure Villas
14242,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",bthrm vanity paint- omnia,6210 - Repair,127-5311,,Approved,Mark Katz,01/28/2025,01/28/2025,,,No,Yes,"1,355.00",90.00,"340.00, 725.00, 290.00",90.00,Azure Villas
14242,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",kitch countertop paint- omnia,6210 - Repair,127-5311,,Approved,Mark Katz,01/28/2025,01/28/2025,,,No,Yes,"1,355.00",250.00,"340.00, 725.00, 290.00",250.00,Azure Villas
14246,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",baseboards- real floors,1405 - Building Improvements,14-3103,"Real Floors, Inc",Approved,Mark Katz,03/12/2025,01/28/2025,,,No,Yes,,427.50,,,Azure Villas
14246,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",baseboard install-real floors,1405 - Building Improvements,14-3103,"Real Floors, Inc",Approved,Mark Katz,03/12/2025,01/28/2025,,,No,Yes,,237.50,,,Azure Villas
14293,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",camera in plumbing pipes building 127-128,6510 - Plumbing,Azure Villas,Bamboo Plumbing,Exempt,,,01/29/2025,,,No,Yes,350.00,350.00,350.00,350.00,Azure Villas
14354,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",LED Shoebox/Area light,1405 - Building Improvements,Azure Villas,NOI Enhancements LLC,Approved,Mariah Cruz,03/04/2025,01/31/2025,,,No,Yes,"38,950.00","18,450.00",38950.00,"17,325.00",Azure Villas
14354,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Front door lights,1405 - Building Improvements,Azure Villas,NOI Enhancements LLC,Approved,Mariah Cruz,03/04/2025,01/31/2025,,,No,Yes,"38,950.00","14,690.00",38950.00,"14,885.00",Azure Villas
14354,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Jump out switches,1405 - Building Improvements,Azure Villas,NOI Enhancements LLC,Approved,Mariah Cruz,03/04/2025,01/31/2025,,,No,Yes,"38,950.00","3,390.00",38950.00,"1,740.00",Azure Villas
14354,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Wire repair as needed,1405 - Building Improvements,Azure Villas,NOI Enhancements LLC,Approved,Mariah Cruz,03/04/2025,01/31/2025,,,No,Yes,"38,950.00",0.00,38950.00,"5,000.00",Azure Villas
14383,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Post replacement,6210 - Repair,Azure Villas,SCG Consulting 0 LLC,Approved,Mariah Cruz,02/19/2025,02/03/2025,,,No,Yes,964.00,677.00,964.00,677.00,Azure Villas
14383,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Chain link mesh repair,6210 - Repair,Azure Villas,SCG Consulting 0 LLC,Approved,Mariah Cruz,02/19/2025,02/03/2025,,,No,Yes,964.00,287.00,964.00,287.00,Azure Villas
14837,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",golf tires,6730 - Supplies Repairs and Maintenance,Azure Villas,Chadwell Supply,Exempt,,,02/18/2025,,,No,Yes,144.99,145.00,144.99,,Azure Villas
14840,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",full unit paint,6210 - Repair,10-5467,MRC Construction LLC,Approved,Mordechai Levenberg,02/19/2025,02/18/2025,,,No,Yes,"6,235.00","1,450.00",6235.00,"1,450.00",Azure Villas
14840,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",kitch cabinet & countertop paint,6210 - Repair,10-5467,MRC Construction LLC,Approved,Mordechai Levenberg,02/19/2025,02/18/2025,,,No,Yes,"6,235.00",800.00,6235.00,800.00,Azure Villas
14840,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",bthrm vanity & countertop paint,6210 - Repair,10-5467,MRC Construction LLC,Approved,Mordechai Levenberg,02/19/2025,02/18/2025,,,No,Yes,"6,235.00",350.00,6235.00,350.00,Azure Villas
14840,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",shelf leveling,6210 - Repair,10-5467,MRC Construction LLC,Approved,Mordechai Levenberg,02/19/2025,02/18/2025,,,No,Yes,"6,235.00",450.00,6235.00,450.00,Azure Villas
14840,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",floor replacement,1405 - Building Improvements,10-5467,MRC Construction LLC,Approved,Mordechai Levenberg,02/19/2025,02/18/2025,,,No,Yes,"6,235.00","1,181.25",6235.00,"1,181.25",Azure Villas
14840,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",baseboard replacement,1405 - Building Improvements,10-5467,MRC Construction LLC,Approved,Mordechai Levenberg,02/19/2025,02/18/2025,,,No,Yes,"6,235.00",843.75,6235.00,843.75,Azure Villas
14840,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",tub & tile resurface,,10-5467,MRC Construction LLC,Approved,Mordechai Levenberg,02/19/2025,02/18/2025,,,No,Yes,"6,235.00",280.00,6235.00,280.00,Azure Villas
14840,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",blinds,,10-5467,MRC Construction LLC,Approved,Mordechai Levenberg,02/19/2025,02/18/2025,,,No,Yes,"6,235.00",180.00,6235.00,180.00,Azure Villas
14840,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",punch out,6210 - Repair,10-5467,MRC Construction LLC,Approved,Mordechai Levenberg,02/19/2025,02/18/2025,,,No,Yes,"6,235.00",700.00,6235.00,700.00,Azure Villas
14846,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",punch out,6210 - Repair,2-5215,MRC Construction LLC,Approved,Mark Katz,02/19/2025,02/18/2025,,,No,Yes,"1,350.00",700.00,1350.00,700.00,Azure Villas
14846,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",blinds,6210 - Repair,2-5215,MRC Construction LLC,Approved,Mark Katz,02/19/2025,02/18/2025,,,No,Yes,"1,350.00",108.00,1350.00,108.00,Azure Villas
14846,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",outlet/switch covers,6210 - Repair,2-5215,MRC Construction LLC,Approved,Mark Katz,02/19/2025,02/18/2025,,,No,Yes,"1,350.00",27.00,1350.00,27.00,Azure Villas
14846,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",install appliances,6210 - Repair,2-5215,MRC Construction LLC,Approved,Mark Katz,02/19/2025,02/18/2025,,,No,Yes,"1,350.00",175.00,1350.00,175.00,Azure Villas
14846,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",hang doors,6210 - Repair,2-5215,MRC Construction LLC,Approved,Mark Katz,02/19/2025,02/18/2025,,,No,Yes,"1,350.00",125.00,1350.00,125.00,Azure Villas
14846,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",new vent fan,6210 - Repair,2-5215,MRC Construction LLC,Approved,Mark Katz,02/19/2025,02/18/2025,,,No,Yes,"1,350.00",15.00,1350.00,15.00,Azure Villas
14846,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",new toilet seat,6210 - Repair,2-5215,MRC Construction LLC,Approved,Mark Katz,02/19/2025,02/18/2025,,,No,Yes,"1,350.00",25.00,1350.00,25.00,Azure Villas
14846,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",full unit clean,6251 - Cleaning Services,2-5215,MRC Construction LLC,Approved,Mark Katz,02/19/2025,02/18/2025,,,No,Yes,"1,350.00",175.00,1350.00,175.00,Azure Villas
14848,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",blinds,6210 - Repair,6-5329,MRC Construction LLC,Approved,Mark Katz,02/18/2025,02/18/2025,,,No,Yes,"1,450.00",225.00,1450.00,225.00,Azure Villas
14848,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",hang doors,6210 - Repair,6-5329,MRC Construction LLC,Approved,Mark Katz,02/18/2025,02/18/2025,,,No,Yes,"1,450.00",550.00,1450.00,550.00,Azure Villas
14848,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",outlet covers,6210 - Repair,6-5329,MRC Construction LLC,Approved,Mark Katz,02/18/2025,02/18/2025,,,No,Yes,"1,450.00",210.00,1450.00,210.00,Azure Villas
14848,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",new showerhead,6210 - Repair,6-5329,MRC Construction LLC,Approved,Mark Katz,02/18/2025,02/18/2025,,,No,Yes,"1,450.00",105.00,1450.00,105.00,Azure Villas
14848,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",full unit clean,6251 - Cleaning Services,6-5329,MRC Construction LLC,Approved,Mark Katz,02/18/2025,02/18/2025,,,No,Yes,"1,450.00",360.00,1450.00,360.00,Azure Villas
14865,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Copeland 2ton R410A compressor,6730 - Supplies Repairs and Maintenance,119-5417,Chadwell Supply,Approved,Mark Katz,02/19/2025,02/19/2025,,,No,Yes,"1,388.86",694.43,"694.43, 694.43",,Azure Villas
14867,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",Full unit clean- Ramon,6251 - Cleaning Services,8-5431,,Approved,Mordechai Levenberg,02/25/2025,02/19/2025,,,No,Yes,,175.00,,,Azure Villas
14867,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",shelf leveling,6210 - Repair,8-5431,,Approved,Mordechai Levenberg,02/25/2025,02/19/2025,,,No,Yes,,206.25,,,Azure Villas
14867,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",floor replacement,1405 - Building Improvements,8-5431,,Approved,Mordechai Levenberg,02/25/2025,02/19/2025,,,No,Yes,,"1,181.25",,,Azure Villas
14867,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",baseboard replacement,1405 - Building Improvements,8-5431,,Approved,Mordechai Levenberg,02/25/2025,02/19/2025,,,No,Yes,,843.75,,,Azure Villas
14867,"Azure Villas - 3252 SW 52nd Ave Pembroke Park, FL 33023",punch out,6210 - Repair,8-5431,,Approved,Mordechai Levenberg,02/25/2025,02/19/2025,,,No,Yes,,700.00,,,Azure Villas
